,IRA_Alta_Bajo,IRA_Alta_Medio,IRA_Alta_Alto,Influenza_Bajo,Influenza_Medio,Influenza_Alto,Neumonia_Bajo,Neumonia_Medio,Neumonia_Alto,Bronquitis_bronquiolitis_Bajo,Bronquitis_bronquiolitis_Medio,Bronquitis_bronquiolitis_Alto,Crisis_obstructiva_bronquial_Bajo,Crisis_obstructiva_bronquial_Medio,Crisis_obstructiva_bronquial_Alto,Otra_causa_respiratoria_Bajo,Otra_causa_respiratoria_Medio,Otra_causa_respiratoria_Alto,CAUSAS_SISTEMA_RESPIRATORIO_Bajo,CAUSAS_SISTEMA_RESPIRATORIO_Medio,CAUSAS_SISTEMA_RESPIRATORIO_Alto,COVID19_Confirmado_u_Bajo,COVID19_Confirmado_u_Medio,COVID19_Confirmado_u_Alto,COVID19_Confirmado_h_Bajo,COVID19_Confirmado_h_Medio,COVID19_Confirmado_h_Alto,Humedad_Bajo,Humedad_Medio,Humedad_Alto,Rocio_Bajo,Rocio_Medio,Rocio_Alto,Temperatura_Bajo,Temperatura_Medio,Temperatura_Alto,Temperatura_min_Bajo,Temperatura_min_Medio,Temperatura_min_Alto,Temperatura_max_Bajo,Temperatura_max_Medio,Temperatura_max_Alto,MP10_Bajo,MP10_Medio,MP10_Alto,MP2.5_Bajo,MP2.5_Medio,MP2.5_Alto
ene_febDFtotaltodos,34.0 - 62.33,62.33 - 90.66,90.66 - 119.0,0.0 - 3.0,3.0 - 6.0,6.0 - 9.0,1.0 - 5.0,5.0 - 9.0,9.0 - 13.0,1.0 - 10.67,10.67 - 20.34,20.34 - 30.0,4.0 - 11.0,11.0 - 18.0,18.0 - 25.0,2.0 - 7.67,7.67 - 13.34,13.34 - 19.0,3.0 - 6.33,6.33 - 9.66,9.66 - 13.0,0.0 - 9.67,9.67 - 19.34,19.34 - 29.0,0.0 - 6.0,6.0 - 12.0,12.0 - 18.0,58.1 - 62.7,62.7 - 67.3,67.3 - 71.9,5.8 - 9.33,9.33 - 12.86,12.86 - 16.4,14.0 - 17.27,17.27 - 20.54,20.54 - 23.8,9.1 - 12.469999999999999,12.469999999999999 - 15.84,15.84 - 19.2,20.7 - 24.07,24.07 - 27.439999999999998,27.439999999999998 - 30.8,22.3 - 28.87,28.87 - 35.44,35.44 - 42.0,5.6 - 8.17,8.17 - 10.739999999999998,10.739999999999998 - 13.3
ene_febDFmenores,1.0 - 6.67,6.67 - 12.34,12.34 - 18.0,0.0 - 1.0,1.0 - 2.0,2.0 - 3.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,0.0 - 3.67,3.67 - 7.34,7.34 - 11.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,0.0 - 1.33,1.33 - 2.66,2.66 - 4.0,0.0 - 0.67,0.67 - 1.34,1.34 - 2.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,58.1 - 62.7,62.7 - 67.3,67.3 - 71.9,5.8 - 9.33,9.33 - 12.86,12.86 - 16.4,14.0 - 17.27,17.27 - 20.54,20.54 - 23.8,9.1 - 12.469999999999999,12.469999999999999 - 15.84,15.84 - 19.2,20.7 - 24.07,24.07 - 27.439999999999998,27.439999999999998 - 30.8,22.3 - 28.87,28.87 - 35.44,35.44 - 42.0,5.6 - 8.17,8.17 - 10.739999999999998,10.739999999999998 - 13.3
ene_febDFde1a4,4.0 - 18.0,18.0 - 32.0,32.0 - 46.0,0.0 - 1.0,1.0 - 2.0,2.0 - 3.0,0.0 - 1.0,1.0 - 2.0,2.0 - 3.0,0.0 - 4.33,4.33 - 8.66,8.66 - 13.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,0.0 - 1.33,1.33 - 2.66,2.66 - 4.0,0.0 - 1.0,1.0 - 2.0,2.0 - 3.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.0,58.1 - 62.7,62.7 - 67.3,67.3 - 71.9,5.8 - 9.33,9.33 - 12.86,12.86 - 16.4,14.0 - 17.27,17.27 - 20.54,20.54 - 23.8,9.1 - 12.469999999999999,12.469999999999999 - 15.84,15.84 - 19.2,20.7 - 24.07,24.07 - 27.439999999999998,27.439999999999998 - 30.8,22.3 - 28.87,28.87 - 35.44,35.44 - 42.0,5.6 - 8.17,8.17 - 10.739999999999998,10.739999999999998 - 13.3
ene_febDFde5a14,2.0 - 12.33,12.33 - 22.66,22.66 - 33.0,0.0 - 1.0,1.0 - 2.0,2.0 - 3.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,0.0 - 2.67,2.67 - 5.34,5.34 - 8.0,0.0 - 0.67,0.67 - 1.34,1.34 - 2.0,0.0 - 2.0,2.0 - 4.0,4.0 - 6.0,0.0 - 0.67,0.67 - 1.34,1.34 - 2.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.0,58.1 - 62.7,62.7 - 67.3,67.3 - 71.9,5.8 - 9.33,9.33 - 12.86,12.86 - 16.4,14.0 - 17.27,17.27 - 20.54,20.54 - 23.8,9.1 - 12.469999999999999,12.469999999999999 - 15.84,15.84 - 19.2,20.7 - 24.07,24.07 - 27.439999999999998,27.439999999999998 - 30.8,22.3 - 28.87,28.87 - 35.44,35.44 - 42.0,5.6 - 8.17,8.17 - 10.739999999999998,10.739999999999998 - 13.3
ene_febDFde15a64,8.0 - 19.67,19.67 - 31.34,31.34 - 43.0,0.0 - 1.33,1.33 - 2.66,2.66 - 4.0,0.0 - 2.33,2.33 - 4.66,4.66 - 7.0,0.0 - 1.0,1.0 - 2.0,2.0 - 3.0,1.0 - 6.67,6.67 - 12.34,12.34 - 18.0,0.0 - 2.67,2.67 - 5.34,5.34 - 8.0,0.0 - 2.67,2.67 - 5.34,5.34 - 8.0,0.0 - 6.0,6.0 - 12.0,12.0 - 18.0,0.0 - 3.33,3.33 - 6.66,6.66 - 10.0,58.1 - 62.7,62.7 - 67.3,67.3 - 71.9,5.8 - 9.33,9.33 - 12.86,12.86 - 16.4,14.0 - 17.27,17.27 - 20.54,20.54 - 23.8,9.1 - 12.469999999999999,12.469999999999999 - 15.84,15.84 - 19.2,20.7 - 24.07,24.07 - 27.439999999999998,27.439999999999998 - 30.8,22.3 - 28.87,28.87 - 35.44,35.44 - 42.0,5.6 - 8.17,8.17 - 10.739999999999998,10.739999999999998 - 13.3
ene_febDFde65ymas,0.0 - 2.33,2.33 - 4.66,4.66 - 7.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,0.0 - 2.33,2.33 - 4.66,4.66 - 7.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,1.0 - 4.67,4.67 - 8.34,8.34 - 12.0,0.0 - 3.0,3.0 - 6.0,6.0 - 9.0,0.0 - 2.67,2.67 - 5.34,5.34 - 8.0,0.0 - 3.67,3.67 - 7.34,7.34 - 11.0,0.0 - 2.67,2.67 - 5.34,5.34 - 8.0,58.1 - 62.7,62.7 - 67.3,67.3 - 71.9,5.8 - 9.33,9.33 - 12.86,12.86 - 16.4,14.0 - 17.27,17.27 - 20.54,20.54 - 23.8,9.1 - 12.469999999999999,12.469999999999999 - 15.84,15.84 - 19.2,20.7 - 24.07,24.07 - 27.439999999999998,27.439999999999998 - 30.8,22.3 - 28.87,28.87 - 35.44,35.44 - 42.0,5.6 - 8.17,8.17 - 10.739999999999998,10.739999999999998 - 13.3
mar_abrDFtotaltodos,23.0 - 72.33,72.33 - 121.66,121.66 - 171.0,0.0 - 5.0,5.0 - 10.0,10.0 - 15.0,0.0 - 4.67,4.67 - 9.34,9.34 - 14.0,0.0 - 29.33,29.33 - 58.66,58.66 - 88.0,4.0 - 12.67,12.67 - 21.34,21.34 - 30.0,4.0 - 10.0,10.0 - 16.0,16.0 - 22.0,0.0 - 4.67,4.67 - 9.34,9.34 - 14.0,0.0 - 17.33,17.33 - 34.66,34.66 - 52.0,0.0 - 10.0,10.0 - 20.0,20.0 - 30.0,61.3 - 66.6,66.6 - 71.89999999999999,71.89999999999999 - 77.2,6.6 - 8.899999999999999,8.899999999999999 - 11.2,11.2 - 13.5,14.0 - 16.23,16.23 - 18.46,18.46 - 20.7,7.5 - 10.27,10.27 - 13.04,13.04 - 15.8,21.3 - 23.37,23.37 - 25.44,25.44 - 27.5,24.1 - 34.8,34.8 - 45.5,45.5 - 56.2,7.1 - 11.129999999999999,11.129999999999999 - 15.16,15.16 - 19.2
mar_abrDFmenores,0.0 - 12.0,12.0 - 24.0,24.0 - 36.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,0.0 - 0.67,0.67 - 1.34,1.34 - 2.0,0.0 - 7.33,7.33 - 14.66,14.66 - 22.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.0,0.0 - 1.33,1.33 - 2.66,2.66 - 4.0,0.0 - 1.0,1.0 - 2.0,2.0 - 3.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,61.3 - 66.6,66.6 - 71.89999999999999,71.89999999999999 - 77.2,6.6 - 8.899999999999999,8.899999999999999 - 11.2,11.2 - 13.5,14.0 - 16.23,16.23 - 18.46,18.46 - 20.7,7.5 - 10.27,10.27 - 13.04,13.04 - 15.8,21.3 - 23.37,23.37 - 25.44,25.44 - 27.5,24.1 - 34.8,34.8 - 45.5,45.5 - 56.2,7.1 - 11.129999999999999,11.129999999999999 - 15.16,15.16 - 19.2
mar_abrDFde1a4,1.0 - 30.33,30.33 - 59.66,59.66 - 89.0,0.0 - 2.0,2.0 - 4.0,4.0 - 6.0,0.0 - 1.33,1.33 - 2.66,2.66 - 4.0,0.0 - 17.0,17.0 - 34.0,34.0 - 51.0,0.0 - 1.0,1.0 - 2.0,2.0 - 3.0,0.0 - 1.67,1.67 - 3.34,3.34 - 5.0,0.0 - 0.67,0.67 - 1.34,1.34 - 2.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,61.3 - 66.6,66.6 - 71.89999999999999,71.89999999999999 - 77.2,6.6 - 8.899999999999999,8.899999999999999 - 11.2,11.2 - 13.5,14.0 - 16.23,16.23 - 18.46,18.46 - 20.7,7.5 - 10.27,10.27 - 13.04,13.04 - 15.8,21.3 - 23.37,23.37 - 25.44,25.44 - 27.5,24.1 - 34.8,34.8 - 45.5,45.5 - 56.2,7.1 - 11.129999999999999,11.129999999999999 - 15.16,15.16 - 19.2
mar_abrDFde5a14,2.0 - 16.33,16.33 - 30.66,30.66 - 45.0,0.0 - 2.0,2.0 - 4.0,4.0 - 6.0,0.0 - 1.0,1.0 - 2.0,2.0 - 3.0,0.0 - 8.0,8.0 - 16.0,16.0 - 24.0,0.0 - 1.67,1.67 - 3.34,3.34 - 5.0,0.0 - 1.33,1.33 - 2.66,2.66 - 4.0,0.0 - 1.33,1.33 - 2.66,2.66 - 4.0,0.0 - 1.0,1.0 - 2.0,2.0 - 3.0,0.0 - 0.67,0.67 - 1.34,1.34 - 2.0,61.3 - 66.6,66.6 - 71.89999999999999,71.89999999999999 - 77.2,6.6 - 8.899999999999999,8.899999999999999 - 11.2,11.2 - 13.5,14.0 - 16.23,16.23 - 18.46,18.46 - 20.7,7.5 - 10.27,10.27 - 13.04,13.04 - 15.8,21.3 - 23.37,23.37 - 25.44,25.44 - 27.5,24.1 - 34.8,34.8 - 45.5,45.5 - 56.2,7.1 - 11.129999999999999,11.129999999999999 - 15.16,15.16 - 19.2
mar_abrDFde15a64,12.0 - 49.0,49.0 - 86.0,86.0 - 123.0,0.0 - 5.0,5.0 - 10.0,10.0 - 15.0,0.0 - 3.33,3.33 - 6.66,6.66 - 10.0,0.0 - 1.0,1.0 - 2.0,2.0 - 3.0,1.0 - 8.0,8.0 - 15.0,15.0 - 22.0,1.0 - 6.67,6.67 - 12.34,12.34 - 18.0,0.0 - 2.67,2.67 - 5.34,5.34 - 8.0,0.0 - 14.33,14.33 - 28.66,28.66 - 43.0,0.0 - 8.0,8.0 - 16.0,16.0 - 24.0,61.3 - 66.6,66.6 - 71.89999999999999,71.89999999999999 - 77.2,6.6 - 8.899999999999999,8.899999999999999 - 11.2,11.2 - 13.5,14.0 - 16.23,16.23 - 18.46,18.46 - 20.7,7.5 - 10.27,10.27 - 13.04,13.04 - 15.8,21.3 - 23.37,23.37 - 25.44,25.44 - 27.5,24.1 - 34.8,34.8 - 45.5,45.5 - 56.2,7.1 - 11.129999999999999,11.129999999999999 - 15.16,15.16 - 19.2
mar_abrDFde65ymas,0.0 - 1.67,1.67 - 3.34,3.34 - 5.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,0.0 - 2.33,2.33 - 4.66,4.66 - 7.0,0.0 - 0.67,0.67 - 1.34,1.34 - 2.0,0.0 - 5.0,5.0 - 10.0,10.0 - 15.0,0.0 - 2.33,2.33 - 4.66,4.66 - 7.0,0.0 - 2.33,2.33 - 4.66,4.66 - 7.0,0.0 - 3.0,3.0 - 6.0,6.0 - 9.0,0.0 - 2.0,2.0 - 4.0,4.0 - 6.0,61.3 - 66.6,66.6 - 71.89999999999999,71.89999999999999 - 77.2,6.6 - 8.899999999999999,8.899999999999999 - 11.2,11.2 - 13.5,14.0 - 16.23,16.23 - 18.46,18.46 - 20.7,7.5 - 10.27,10.27 - 13.04,13.04 - 15.8,21.3 - 23.37,23.37 - 25.44,25.44 - 27.5,24.1 - 34.8,34.8 - 45.5,45.5 - 56.2,7.1 - 11.129999999999999,11.129999999999999 - 15.16,15.16 - 19.2
may_junDFtotaltodos,39.0 - 121.67,121.67 - 204.34,204.34 - 287.0,0.0 - 16.33,16.33 - 32.66,32.66 - 49.0,2.0 - 10.33,10.33 - 18.66,18.66 - 27.0,0.0 - 50.0,50.0 - 100.0,100.0 - 150.0,5.0 - 35.33,35.33 - 65.66,65.66 - 96.0,3.0 - 10.67,10.67 - 18.34,18.34 - 26.0,2.0 - 10.0,10.0 - 18.0,18.0 - 26.0,0.0 - 14.0,14.0 - 28.0,28.0 - 42.0,0.0 - 8.33,8.33 - 16.66,16.66 - 25.0,51.2 - 59.730000000000004,59.730000000000004 - 68.26,68.26 - 76.8,0.7 - 4.03,4.03 - 7.36,7.36 - 10.7,11.1 - 13.399999999999999,13.399999999999999 - 15.7,15.7 - 18.0,5.9 - 8.27,8.27 - 10.64,10.64 - 13.0,17.7 - 20.369999999999997,20.369999999999997 - 23.04,23.04 - 25.7,31.2 - 50.07,50.07 - 68.94,68.94 - 87.8,9.1 - 16.27,16.27 - 23.439999999999998,23.439999999999998 - 30.6
may_junDFmenores,2.0 - 11.0,11.0 - 20.0,20.0 - 29.0,0.0 - 0.67,0.67 - 1.34,1.34 - 2.0,0.0 - 2.67,2.67 - 5.34,5.34 - 8.0,0.0 - 13.0,13.0 - 26.0,26.0 - 39.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,0.0 - 1.33,1.33 - 2.66,2.66 - 4.0,0.0 - 3.0,3.0 - 6.0,6.0 - 9.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,51.2 - 59.730000000000004,59.730000000000004 - 68.26,68.26 - 76.8,0.7 - 4.03,4.03 - 7.36,7.36 - 10.7,11.1 - 13.399999999999999,13.399999999999999 - 15.7,15.7 - 18.0,5.9 - 8.27,8.27 - 10.64,10.64 - 13.0,17.7 - 20.369999999999997,20.369999999999997 - 23.04,23.04 - 25.7,31.2 - 50.07,50.07 - 68.94,68.94 - 87.8,9.1 - 16.27,16.27 - 23.439999999999998,23.439999999999998 - 30.6
may_junDFde1a4,1.0 - 26.67,26.67 - 52.34,52.34 - 78.0,0.0 - 5.0,5.0 - 10.0,10.0 - 15.0,0.0 - 3.33,3.33 - 6.66,6.66 - 10.0,0.0 - 23.0,23.0 - 46.0,46.0 - 69.0,0.0 - 1.0,1.0 - 2.0,2.0 - 3.0,0.0 - 1.33,1.33 - 2.66,2.66 - 4.0,0.0 - 1.67,1.67 - 3.34,3.34 - 5.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.0,0.0 - 0.0,51.2 - 59.730000000000004,59.730000000000004 - 68.26,68.26 - 76.8,0.7 - 4.03,4.03 - 7.36,7.36 - 10.7,11.1 - 13.399999999999999,13.399999999999999 - 15.7,15.7 - 18.0,5.9 - 8.27,8.27 - 10.64,10.64 - 13.0,17.7 - 20.369999999999997,20.369999999999997 - 23.04,23.04 - 25.7,31.2 - 50.07,50.07 - 68.94,68.94 - 87.8,9.1 - 16.27,16.27 - 23.439999999999998,23.439999999999998 - 30.6
may_junDFde5a14,1.0 - 34.67,34.67 - 68.34,68.34 - 102.0,0.0 - 12.0,12.0 - 24.0,24.0 - 36.0,0.0 - 1.67,1.67 - 3.34,3.34 - 5.0,0.0 - 16.0,16.0 - 32.0,32.0 - 48.0,0.0 - 2.33,2.33 - 4.66,4.66 - 7.0,0.0 - 1.33,1.33 - 2.66,2.66 - 4.0,0.0 - 1.0,1.0 - 2.0,2.0 - 3.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,0.0 - 0.33,0.33 - 0.66,0.66 - 1.0,51.2 - 59.730000000000004,59.730000000000004 - 68.26,68.26 - 76.8,0.7 - 4.03,4.03 - 7.36,7.36 - 10.7,11.1 - 13.399999999999999,13.399999999999999 - 15.7,15.7 - 18.0,5.9 - 8.27,8.27 - 10.64,10.64 - 13.0,17.7 - 20.369999999999997,20.369999999999997 - 23.04,23.04 - 25.7,31.2 - 50.07,50.07 - 68.94,68.94 - 87.8,9.1 - 16.27,16.27 - 23.439999999999998,23.439999999999998 - 30.6
may_junDFde15a64,15.0 - 37.0,37.0 - 59.0,59.0 - 81.0,0.0 - 8.0,8.0 - 16.0,16.0 - 24.0,0.0 - 3.67,3.67 - 7.34,7.34 - 11.0,0.0 - 4.0,4.0 - 8.0,8.0 - 12.0,3.0 - 24.67,24.67 - 46.34,46.34 - 68.0,1.0 - 6.33,6.33 - 11.66,11.66 - 17.0,0.0 - 2.67,2.67 - 5.34,5.34 - 8.0,0.0 - 11.0,11.0 - 22.0,22.0 - 33.0,0.0 - 6.0,6.0 - 12.0,12.0 - 18.0,51.2 - 59.730000000000004,59.730000000000004 - 68.26,68.26 - 76.8,0.7 - 4.03,4.03 - 7.36,7.36 - 10.7,11.1 - 13.399999999999999,13.399999999999999 - 15.7,15.7 - 18.0,5.9 - 8.27,8.27 - 10.64,10.64 - 13.0,17.7 - 20.369999999999997,20.369999999999997 - 23.04,23.04 - 25.7,31.2 - 50.07,50.07 - 68.94,68.94 - 87.8,9.1 - 16.27,16.27 - 23.439999999999998,23.439999999999998 - 30.6
